Timestamp,Have you bought something using the mobile device in the last 12 months?,It is fast to buy products using a mobile device,It is comfortable to buy products using a mobile device,I think mobile device is useful for buying products,I think learning how to use a mobile device for buying products is intuitive,I think using mobile device for buying products is free of effort,I think using mobile device for buying products is simple,Prices of the products are generally attractive when using a mobile device for buying products,The price/quality ratio when using a mobile device for buying products is good,Using a mobile device for buying products is beneficial from a financial point of view,Using a mobile device for buying products is fun,It is a pleasure to use a mobile device for buying products,Using a mobile device for buying products is entertainment,Using mobile device for buying products has become habit for me,I am addicted to using mobile device for buying products,I must use mobile device for buying products,I believe there is a risk associated with using mobile device for  buying products,There is a possibility of serious financial loss when using a mobile device for buying products,There is an uncertainty associated with using mobile device for  buying products,My family think that it’s good to use mobile device for buying products,My friends think that it’s good to use mobile device for buying products,People who are important to me think that it’s good to use mobile device for buying products,I am going to use a mobile device to compare features of the products,I am going to use a mobile device to compare prices of the products,I am going to use a mobile device to order products,I am going to use a mobile device to make payments for the purchased products,What is your gender?,What year you were born?
3/5/2019 19:37:34,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat disagree,Disagree,Male,1996
3/5/2019 19:42:48,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Female,1995
3/5/2019 20:00:39,Yes,Strongly agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Male,1996
3/5/2019 20:15:07,Yes,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Female,1996
3/5/2019 20:30:03,Yes,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,1995
3/5/2019 20:40:50,Yes,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Male,1996
3/5/2019 21:21:00,Yes,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Female,1996
3/5/2019 21:52:56,Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Female,1996
3/5/2019 21:56:53,Yes,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Female,1995
3/5/2019 22:39:02,Yes,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Female,1996
3/5/2019 22:49:07,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Male,1995
3/5/2019 22:59:25,Yes,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Female,1996
3/5/2019 23:15:17,Yes,Agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Female,1996
3/5/2019 23:50:03,Yes,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Female,1993
3/5/2019 23:58:02,Yes,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Female,1993
3/6/2019 6:01:59,Yes,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Female,1993
3/6/2019 6:07:18,Yes,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Female,1993
3/6/2019 7:15:58,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Female,1993
3/6/2019 8:17:44,Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Female,1993
3/6/2019 8:28:50,Yes,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Disagree,Female,1993
3/6/2019 8:36:39,Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Female,1992
3/6/2019 9:52:44,Yes,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Female,1992
3/6/2019 10:38:44,Yes,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Male,1993
3/6/2019 12:49:56,Yes,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat agree,Male,1993
3/6/2019 14:10:22,Yes,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Male,1993
3/6/2019 14:28:23,Yes,Somewhat disagree,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Agree,Female,1993
3/6/2019 14:33:46,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Female,1993
3/6/2019 14:42:22,Yes,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Female,1993
3/6/2019 14:56:45,Yes,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Female,1993
3/6/2019 15:11:06,Yes,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Female,1992
3/6/2019 16:11:48,Yes,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Female,1992
3/6/2019 16:12:33,Yes,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,1993
3/6/2019 16:40:19,Yes,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Female,1993
3/6/2019 16:54:58,Yes,Strongly agree,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Female,1983
3/6/2019 17:47:09,Yes,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Female,1993
3/6/2019 18:02:31,Yes,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Female,1992
3/6/2019 18:11:20,Yes,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Disagree,Somewhat disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Female,1992
3/6/2019 18:14:45,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/6/2019 18:26:12,Yes,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly disagree,Female,1993
3/6/2019 19:41:39,Yes,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Female,1993
3/6/2019 19:42:30,Yes,Somewhat agree,Disagree,Agree,Somewhat disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Female,1993
3/6/2019 19:46:03,Yes,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Somewhat agree,Male,1993
3/6/2019 20:00:21,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Male,1993
3/6/2019 20:03:02,Yes,Strongly agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Male,1995
3/6/2019 20:09:08,Yes,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Male,1996
3/6/2019 21:05:36,Yes,Strongly agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Male,1996
3/6/2019 21:17:31,Yes,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Male,1996
3/6/2019 21:45:17,Yes,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Male,1995
3/6/2019 22:08:48,Yes,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Female,1995
3/6/2019 22:50:50,Yes,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat disagree,Female,1996
3/6/2019 23:21:18,Yes,Agree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Male,1995
3/6/2019 23:50:14,Yes,Somewhat agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Male,1995
3/6/2019 23:52:28,Yes,Strongly agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Female,1996
3/7/2019 7:04:00,Yes,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat disagree,Agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Male,1996
3/7/2019 7:04:52,Yes,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Female,1996
3/7/2019 7:09:59,Yes,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Somewhat agree,Disagree,Disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Female,1995
3/7/2019 7:24:31,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Female,1996
3/7/2019 7:28:41,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Disagree,Agree,Somewhat agree,Disagree,Disagree,Male,1996
3/7/2019 7:33:32,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Female,1996
3/7/2019 9:45:02,Yes,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Female,1996
3/7/2019 9:48:06,Yes,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Disagree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Female,1995
3/7/2019 9:50:48,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Female,1993
3/7/2019 10:06:55,Yes,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Female,1984
3/7/2019 10:08:48,Yes,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Female,1987
3/7/2019 10:43:18,Yes,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Strongly agree,Agree,Agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Female,1982
3/7/2019 12:00:06,Yes,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Strongly agree,Female,1988
3/7/2019 12:18:56,Yes,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Female,1986
3/7/2019 13:20:59,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2019 13:43:03,Yes,Strongly agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Female,1983
